"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"185",3241999.99979807,1803999.99992613,3243999.99979807,1801999.99992613,692400,38,185,1.44948220873846,-0.50286220619708
"186",3241999.99979807,1797999.99992613,3243999.99979807,1795999.99992613,692403,38,186,1.19274584136783,-0.969201101589763
"187",3241999.99979807,1795999.99992613,3243999.99979807,1793999.99992613,692404,38,187,-0.461723230879221,-0.107048890902388
"188",3243999.99979807,1805999.99992613,3245999.99979807,1803999.99992613,694655,38,188,0.889973633248536,-0.508932885804857
"189",3243999.99979807,1803999.99992613,3245999.99979807,1801999.99992613,694656,38,189,1.57023945524708,-0.439117288199774
"190",3243999.99979807,1797999.99992613,3245999.99979807,1795999.99992613,694659,38,190,1.65155923840851,-0.627558186411705
"191",3243999.99979807,1795999.99992613,3245999.99979807,1793999.99992613,694660,38,191,1.16531996297944,0.039903518794936
"192",3245999.99979807,1805999.99992613,3247999.99979807,1803999.99992613,696911,38,192,1.95666264407465,-0.625700355149975
"193",3245999.99979807,1799999.99992613,3247999.99979807,1797999.99992613,696914,38,193,1.92172820041227,0.255549360442087
"194",3245999.99979807,1793999.99992613,3247999.99979807,1791999.99992613,696917,38,194,1.93653643632321,0.768884898293699
"195",3247999.99979807,1797999.99992613,3249999.99979807,1795999.99992613,699171,38,195,1.81542351861405,0.226479744637881
"196",3247999.99979807,1795999.99992613,3249999.99979807,1793999.99992613,699172,38,196,1.9405616778735,0.478235308886017
"197",3247999.99979807,1793999.99992613,3249999.99979807,1791999.99992613,699173,38,197,1.5299870397442,1.0001073202051
"198",3249999.99979807,1799999.99992613,3251999.99979807,1797999.99992613,701426,38,198,1.30395793270362,0.266136225718349
"199",3249999.99979807,1797999.99992613,3251999.99979807,1795999.99992613,701427,38,199,0.59379863369155,0.516370157581263
"200",3249999.99979807,1795999.99992613,3251999.99979807,1793999.99992613,701428,38,200,1.16734253285012,0.673620326647636
"201",3251999.99979807,1793999.99992613,3253999.99979807,1791999.99992613,703685,38,201,1.49778510734191,0.653135330014324
"202",3217999.99979807,1757999.99992613,3219999.99979807,1755999.99992613,665351,39,202,1.98886457647695,-1.87806651775199
"203",3223999.99979807,1763999.99992613,3225999.99979807,1761999.99992613,672116,39,203,1.76345104966086,-0.756493162274634
"204",3223999.99979807,1759999.99992613,3225999.99979807,1757999.99992613,672118,39,204,0.879899393451147,-1.48074730803121
"205",3225999.99979807,1757999.99992613,3227999.99979807,1755999.99992613,674375,39,205,2.05326844128154,-2.17144812237565
"206",3225999.99979807,1753999.99992613,3227999.99979807,1751999.99992613,674377,39,206,1.94861216097407,-1.84886418239224
"207",3227999.99979807,1763999.99992613,3229999.99979807,1761999.99992613,676628,39,207,1.91238498702149,-1.17038830708841
"208",3227999.99979807,1761999.99992613,3229999.99979807,1759999.99992613,676629,39,208,1.32654108674475,-1.07238189296577
"209",3227999.99979807,1755999.99992613,3229999.99979807,1753999.99992613,676632,39,209,1.97892156169244,-2.28179432781668
